,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,NFA
28,w98916079,trade,133751.88480733606,167189.85600917006,503916.8562605286,559907.618067254,nr2,nr2,-777293.7327178841,-1219431.3503142616,-442137.6175963775,3334.9361924076916
29,w98916080,other,104082.21116258297,130102.76395322871,385409.83654958865,428233.15172176517,nr2,nr2,-594496.188718355,-888811.7761149916,-294315.5873966366,2976.303781049745
30,w98916086,other,20686.516731325537,25858.14591415692,84265.32015590335,93628.13350655927,nr1,nr2,-129979.58776117284,-223035.4682045205,-93055.88044334766,294.4025758753764
31,w98916091,trade,65522.69205707044,81903.36507133805,65522.69205707044,72802.99117452271,nr2,nr2,-101069.01020281287,-121505.56545858856,-20436.55525577569,1116.7099465291947
32,w98916094,trade,13612.2294499376,17015.286812422,46278.56665361178,51420.6296151242,nr1,nr1,-77544.98685809471,-157944.76706021157,-80399.78020211686,150.05011938810347
33,w98916098,trade,1389797.224493673,1737246.5306170913,1389797.224493673,1544219.1383263033,nr2,nr2,-2143767.6849395363,-2577246.0247481302,-433478.33980859397,15131.85493721813
34,w98916102,trade,73425.17962658805,91781.47453323506,284238.58921225026,315820.65468027804,nr2,nr2,-438439.1417877663,-743156.054026285,-304716.91223851865,1892.1415951219387
35,w98916109,sfh,9629.8057932929,12037.257241616126,38719.86130122445,43022.068112471614,r1,r1,-69427.1486342374,-106199.64094877867,-36772.492314541276,81.43322088830173
36,w98916113,trade,50271.6825643969,62839.60320549612,173540.7692960107,192823.07699556745,nr2,nr2,-267687.31918562605,-400832.57339650765,-133145.2542108816,559.2398283889517
37,w98916116,other,358101.17313169746,447626.4664146218,1062734.6846249367,1180816.3162499296,nr2,nr2,-1639272.4308349062,-2223255.1666829186,-583982.7358480124,6987.1012714248145
38,w98916121,other,22475.134293848154,28093.917867310192,80557.30305057266,89508.1145006363,nr1,nr2,-124259.95679234069,-207010.3697738911,-82750.41298155043,458.57296650111675
39,w98916126,trade,54455.49615433791,68069.37019292239,194117.59848031573,215686.22053368413,nr2,nr2,-299427.15913235256,-487053.14738549537,-187625.9882531428,1235.1179318586364
40,w99055014,mfh,51250.231128429565,64062.788910536954,138482.6158739089,153869.5731932321,r2,r2,-228573.52136756424,-314224.2841002916,-85650.76273272737,379.03616306802724
41,w99055018,mfh,39011.950831555296,48764.93853944412,74738.71105496878,83043.01228329864,r1,r2,-123360.54067509662,-238538.0546850274,-115177.51400993078,363.825429549627
42,w99055022,sfh,3912.1656857345315,4890.207107168164,8121.358728508361,9023.731920564845,r0,r1,-14562.107420004644,-47969.352499170425,-33407.24507916578,32.828185592684896
43,w99055023,sfh,7638.842228320924,9548.552785401154,23689.428722857134,26321.58746984126,r1,r1,-42476.63689203258,-67103.82772771233,-24627.19083567975,57.57688737055287
44,w99055025,trade,131771.14343422168,164713.9292927771,357208.00610134704,396897.78455705225,nr2,nr2,-550994.7543324071,-952909.5608136245,-401914.8064812174,2922.078992408514
45,w99055028,ab,18863.996140229203,23579.9951752865,43794.80756460522,48660.897294005794,r1,r1,-78526.84674000934,-127444.40205697705,-48917.555316967715,168.94065034445376
46,w99055030,other,33719.73290267432,42149.66612834289,116326.93155687526,129252.14617430585,nr1,nr2,-179434.74944746352,-306540.4651639144,-127105.71571645091,502.22660109587014
47,w99055036,other,94056.81089942587,117571.01362428232,328535.37354705296,365039.3039411699,nr2,nr2,-506767.1058461794,-823627.7053808713,-316860.5995346919,2513.4158389533286
48,w99055038,other,24561.514626422148,30701.893283027683,86262.38089475907,95847.08988306564,nr1,nr2,-133060.0618054206,-244557.5901467753,-111497.52834135469,337.97397138923407
49,w99055039,other,95255.37369289662,119069.21711612078,312686.9164410429,347429.90715671435,nr2,nr2,-482320.79842720146,-717011.7867023407,-234690.98827513924,2475.299022556655
50,w99055040,trade,7536.8851086504455,9421.106385813056,35391.70019666166,39324.111329624066,nr1,nr1,-59302.80743519024,-98946.07511461998,-39643.26767942974,101.95110847079195
51,w99055041,ab,21595.11692946048,26993.8961618256,64982.981209910264,72203.31245545585,r1,r2,-107258.14753265315,-169381.9118402395,-62123.76430758636,189.90211718752977
52,w99055043,sfh,29155.98911223378,36444.98639029222,86320.99151306404,95912.21279229339,r1,r2,-142477.760645754,-216202.65970350048,-73724.89905774649,190.2007592998445
53,w99055048,sfh,5769.180841789516,7211.476052236895,24285.63485393199,26984.0387265911,r1,r1,-43545.67201477638,-69148.76963278496,-25603.097618008578,47.74609960326925
54,w99055050,trade,16984.909900636445,21231.137375795555,65308.77244341692,72565.3027149077,nr1,nr2,-100739.0383573933,-173967.53492423045,-73228.49656683714,194.95880112051967
55,w99055053,ab,14174.508663259385,17718.13582907423,49059.40863841541,54510.454042683785,r1,r1,-87966.6078591905,-140758.67872919826,-52792.07087000777,122.33706042193808
56,w99055057,ab,36040.58788819037,45050.73486023796,87681.8017174346,97424.2241304829,r1,r2,-144723.8561456332,-237028.58270965522,-92304.72656402201,303.91877080444243
57,w99055067,sfh,21931.666176569037,27414.582720711296,33001.382887256914,36668.203208063234,r1,r1,-59173.5568736789,-160949.12904256454,-101775.57216888564,194.8848727118224
58,w99055068,ab,40200.04013772175,50250.05017215219,132493.30677667502,147214.7853074167,r1,r2,-218687.82226898547,-352167.6870622262,-133479.8647932407,348.37368724122643
59,w99055094,other,16614.595860209945,20768.24482526243,66091.27134448045,73434.74593831161,nr1,nr2,-101946.04598990016,-188107.57737536533,-86161.53138546518,263.70872883694244
60,w99055100,sfh,12089.433153049305,15111.79144131163,15744.323611141372,17493.69290126819,r1,r1,-28230.563301673767,-109300.2047246951,-81069.64142302133,85.6876405166462
61,w99055110,sfh,12604.978915374657,15756.22364421832,52473.960066172556,58304.40007352506,r1,r2,-86611.28876527665,-134847.9210260116,-48236.63226073496,94.65369866762775
62,w99055113,education,39333.930829421224,49167.41353677653,153671.86244078857,170746.51382309842,nr1,nr2,-237039.45221581208,-355588.42846574687,-118548.97624993479,801.3236896117684
63,w99055118,other,6219.479772060365,7774.349715075456,24020.58101149931,26689.534457221456,nr1,nr1,-40249.20764729739,-68673.25621055682,-28424.04856325943,54.3237798044458
64,w99055131,th,69240.53713621371,86550.67142026713,174492.9614592318,193881.0682880353,r2,r2,-288010.66764153907,-466210.11803768814,-178199.45039614907,500.74276516167447
65,w99055135,ab,68880.52212837798,86100.65266047248,134760.33544465396,149733.70604961552,r2,r2,-222429.68345792333,-356110.63624974084,-133680.95279181752,663.0715527065098
66,w99055142,sfh,9032.758360397225,11290.947950496531,30373.370700461764,33748.18966717974,r1,r1,-54461.365595776675,-79778.77950167622,-25317.41390589955,64.54166975589469
67,w99055146,sfh,17342.70904751041,21678.38630938801,45007.11390865703,50007.90434295226,r1,r1,-80700.5883266315,-111362.60983398,-30662.021507348487,149.08371188635937
68,w99055147,sfh,7330.462267285426,9163.077834106782,9628.24002989865,10698.044477665168,r1,r1,-17264.040447912168,-78500.776617697,-61236.73616978484,57.659734526090325
69,w99055152,other,76892.01538215307,96115.01922769133,264252.3847284261,293613.76080936234,nr2,nr2,-407610.3427644949,-612589.612609988,-204979.26984549308,1635.3717537612654
70,w99055158,trade,39120.40099323338,48900.50124154172,144743.79539184985,160826.4393242776,nr1,nr2,-223267.8736781867,-356719.56791517284,-133451.69423698614,567.1104306213557
71,w99055160,ab,41269.65009818708,51587.06262273384,101699.20767706775,112999.1196411864,r1,r2,-167860.39079594155,-306610.30414188444,-138749.91334594288,362.3993257842958
72,w99055171,sfh,16885.70894548665,21107.136181858314,36534.23113964701,40593.59015516334,r1,r1,-65508.17617442358,-125275.70142589838,-59767.525251474806,150.93386064656082
73,w99055172,sfh,9019.499646113589,11274.374557641986,34959.915482691984,38844.350536324426,r1,r1,-62685.32910215973,-96116.16880172079,-33430.83969956106,71.28885925472714
74,w99055173,ab,46033.80958093352,57542.2619761669,103778.03118873315,115308.92354303683,r2,r2,-171291.60855106896,-271922.1913320027,-100630.58278093374,413.9677898917347
75,w99055181,other,15209.502381678169,19011.87797709771,55355.73112876553,61506.36792085059,nr1,nr2,-85386.4329836193,-156699.04562582794,-71312.61264220864,184.62117180265486
76,w99055182,sfh,9995.399856476368,12494.24982059546,41072.2949799907,45635.88331110078,r1,r1,-73645.21030024665,-110658.91964728959,-37013.70934704294,84.81555104400032
77,w99055185,education,10840.570650859518,13550.713313574397,27137.63133712484,30152.92370791649,nr1,nr1,-45472.17897106001,-135018.58199945473,-89546.40302839472,136.9722994968528
78,w99055186,sfh,5137.404922484948,6421.756153106185,8077.381808901094,8974.86867655677,r1,r1,-14483.254034908634,-58064.48994846028,-43581.235913551645,41.49024544628337
79,w99055192,ab,18121.209085465063,22651.511356831328,56573.984423398244,62859.982692664715,r1,r2,-93378.6147513568,-159436.76335011376,-66058.14859875696,160.51305735595523
80,w99055193,other,9055.86994602939,11319.837432536737,37451.259490311946,41612.510544791054,nr1,nr1,-62753.83260532943,-100378.39789073386,-37624.56528540443,133.23216011486946
81,w99055199,ab,69499.33638341566,86874.17047926957,144875.40265854934,160972.66962061037,r2,r2,-239125.18359242982,-365582.9252858885,-126457.74169345867,594.2030242990702
82,w99055201,sfh,16186.140935837673,20232.67616979709,23915.67348956297,26572.970543958854,r1,r1,-42882.3080002942,-145178.4377708465,-102296.1297705523,119.5810925271362
83,w99055202,ab,74224.65462412336,92780.8182801542,183212.87097097567,203569.8566344174,r2,r2,-302403.3797558206,-460432.8138305586,-158029.434074738,635.4450178422034
84,w99055209,other,19092.937557201116,23866.171946501392,71166.34004527405,79073.7111614156,nr1,nr2,-109774.35942143192,-180301.55944575623,-70527.20002432431,191.61494707558305
85,w99055216,education,30329.625776782435,37912.03222097804,97615.7064420698,108461.89604674422,nr1,nr2,-150572.61111547577,-262911.6148969732,-112339.00378149742,463.1840371862054
86,w99055219,other,89363.99007406665,111704.9875925833,280358.9009157519,311509.889906391,nr2,nr2,-432454.7073313647,-642051.6879869981,-209596.98065563344,773.0541430711745
87,w99055224,ab,39326.77401159415,49158.46751449268,88079.81530757781,97866.46145286423,r1,r2,-145380.80046515714,-252870.9384532205,-107490.13798806336,318.955577952601
88,w99055226,ab,28811.221455015977,36014.02681876997,69321.04823838189,77023.38693153542,r1,r2,-114418.3766369988,-191033.20339712143,-76614.82676012263,262.56915004737675
89,w99055235,trade,149404.7926523063,186755.99081538286,455420.4985622041,506022.7761802268,nr2,nr2,-702487.9102290586,-977712.7766520036,-275224.86642294505,1694.7837025728077
90,w99055245,ab,47895.25638616388,59869.07048270485,110594.87925706254,122883.19917451392,r2,r2,-182543.20831160824,-292231.1809865587,-109687.97267495049,424.4345906373113
91,w99055249,sfh,9527.919340341607,11909.899175427008,33446.903939437485,37163.22659937498,r1,r1,-59972.404164705855,-109137.39268331746,-49164.98851861161,70.42309986636974
92,w99055257,trade,8302.741753787854,10378.427192234816,36946.07902516493,41051.19891684992,nr1,nr1,-61907.345443702216,-104649.00022273157,-42741.654779029355,137.79457132667304
93,w99055287,mfh,29327.158711257514,36658.94838907189,65413.202259158345,72681.33584350927,r1,r2,-107968.25211561841,-192787.90458123124,-84819.65246561283,226.3710821658373
94,w99055292,trade,5742.2884325185605,7177.8605406482,26638.013577625854,29597.792864028725,nr1,nr1,-44635.01275360984,-79716.12894629958,-35081.11619268974,58.725108856521544
95,w99055300,other,76273.07353797425,95341.34192246781,253934.7967876531,282149.7742085034,nr2,nr2,-391695.422786144,-587604.7100635867,-195909.2872774427,847.1402418442303
96,w99389931,mfh,51882.65252404952,64853.315655061895,99582.28350232905,110646.9816692545,r2,r2,-164366.28570531614,-286078.31699522864,-121712.0312899125,488.4274571448564
97,w99389943,ab,329651.0091598724,412063.7614498405,624462.3880690951,693847.0978545501,r2,r2,-1030711.0831334601,-1534521.982130853,-503810.89899739285,3490.8252122399163
98,w99389949,ab,284257.7582638273,355322.1978297841,683124.5893772031,759027.3215302257,r2,r2,-1127536.4199423487,-1635537.9563925983,-508001.5364502496,2474.179022271931
99,w99389956,education,46899.24791118664,58624.0598889833,46899.24791118664,52110.27545687404,nr2,nr1,-78585.00869632402,-86970.16954168849,-8385.160845364473,671.7147096479312
100,w99389960,ab,80098.50062143736,100123.12577679669,196619.69517326806,218466.32797029783,r2,r2,-324532.1141022608,-478545.5728788677,-154013.4587766069,693.6997662768932
101,w99389971,education,79005.85520261421,98757.31900326777,309303.5674613809,343670.63051264547,nr2,nr2,-477101.96931915294,-698017.9165963519,-220915.94727719895,1612.9015118613836
102,w99389974,education,10047.192716967635,12558.990896209543,43366.28216826591,48184.7579647399,nr1,nr1,-72665.12392211602,-125548.77022522842,-52883.6463031124,235.12884147074072
103,w99389975,mfh,111466.82540481444,139333.53175601806,203599.25388206367,226221.39320229297,r2,r2,-336052.2771320642,-544959.4560659443,-208907.17893388006,1082.0712234761565
104,w99389979,ab,21228.517390207166,26535.646737758954,58414.06986123536,64904.52206803929,r1,r2,-96415.7815862653,-173034.28109834358,-76618.49951207828,163.53384786918758
105,w99389992,other,222880.7619206125,278600.9524007656,222880.7619206125,247645.2910229028,nr2,nr2,-343794.45186630293,-413311.0554037864,-69516.60353748349,2569.363114476204
106,w99390006,education,13943.155864366083,17428.944830457604,83282.49698597375,92536.10776219305,nr1,nr2,-128463.57915605236,-222258.59041515793,-93795.01125910557,431.6004564465955
107,w99390011,ab,247425.31787724234,309281.6473465529,487902.76263553556,542114.1807061506,r2,r2,-805311.5680751572,-1161076.018116783,-355764.45004162565,2554.974828636646
108,w99390014,trade,43622.5019390578,54528.12742382225,125980.24566648666,139978.05074054073,nr1,nr2,-194325.02442861776,-381747.7305852651,-187422.70615664733,587.280543653667
109,w99390021,other,56431.07453005592,70538.8431625699,203329.9608709738,225922.17874552644,nr2,nr2,-313637.2643527311,-525847.0858031729,-212209.82145044178,1617.1983746248297
110,w99390022,education,501507.8998853299,626884.8748566624,501507.8998853299,557230.9998725888,nr2,nr2,-773577.9080345666,-929998.4332823321,-156420.5252477656,5590.431437242403
111,w99390025,education,22880.136119028128,28600.170148785157,22880.136119028128,25422.373465586807,nr1,nr1,-38338.262892655606,-46090.411908896844,-7752.149016241237,237.89438336268066
112,w99390027,mfh,12111.38188864718,15139.227360808974,27759.268305341284,30843.631450379202,r1,r1,-49774.1154499347,-71889.93036872426,-22115.81491878956,116.0190749399364
113,w99390046,mfh,104637.32667388588,130796.65834235735,211796.0789351003,235328.97659455586,r2,r2,-349581.60826567287,-485480.61477392993,-135899.00650825707,1095.085822885856
114,w99390052,education,80452.87476272321,100566.093453404,313307.17899148044,348119.0877683116,nr2,nr2,-483277.55585078214,-799317.3707692529,-316039.81491847074,1678.6958267321402
115,w99390065,education,86800.34062073754,108500.42577592192,348951.4029727128,387723.781080792,nr2,nr2,-538258.9115327604,-791059.8531271935,-252800.94159443316,2581.633286331594
116,w99390082,education,9140.033185312222,11425.041481640277,39827.93660519214,44253.26289465793,nr1,nr1,-66736.22464911878,-99524.0646349853,-32787.83998586652,124.21957990797236
117,w99390107,education,26712.358260262183,33390.44782532773,26712.358260262183,29680.39806695798,nr1,nr1,-44759.58570076169,-53810.151690907136,-9050.56599014545,332.09000708311794
118,w99390110,mfh,111016.92938734422,138771.16173418026,239891.65743218464,266546.2860357607,r2,r2,-395954.97629754676,-581588.8167253314,-185633.8404277846,1066.5973296171287
119,w99390116,ab,76366.64546448652,95458.30683060814,158097.7549469809,175664.1721633121,r2,r2,-260949.43643641943,-424205.49707957584,-163256.0606431564,694.0162199864862
120,w99390122,other,23978.9127918091,29973.640989761374,98676.7039395479,109640.78215505321,nr1,nr2,-152209.2039283042,-276086.2319685483,-123877.02804024413,307.42072394330467
121,w99390129,trade,62972.859261591475,78716.07407698935,195071.71625481176,216746.35139423527,nr2,nr2,-300898.8895521167,-448009.0504034237,-147110.16085130704,1196.3697846690193
122,w99390130,education,49512.76423577884,61890.95529472355,164651.07624751102,182945.64027501224,nr2,nr2,-253974.93269460523,-410177.40960715,-156202.47691254478,964.417538562417
123,w99390133,education,680645.1328091653,850806.4160114565,680645.1328091653,756272.3697879614,nr2,nr2,-1049897.7943773482,-1262191.2980403784,-212293.50366303022,9252.387912133521
124,w99390139,ab,101272.3942615666,126590.49282695825,193561.77819765167,215068.6424418352,r2,r2,-319484.84627910896,-606465.7586392066,-286980.9123600977,1249.1388426542283
125,w99390141,other,7161.259483685899,8951.574354607374,30821.618759402736,34246.24306600304,nr1,nr1,-51645.11769632692,-95665.30589360213,-44020.18819727521,112.67489476799965
126,w99758761,trade,18702.739494504167,23378.424368130207,71706.83112597434,79674.25680663815,nr1,nr2,-110608.06903919684,-194615.63256846007,-84007.56352926324,171.36210507287177
127,w99758765,trade,17633.22369336,22041.529616699998,64055.628922168136,71172.92102463126,nr1,nr2,-98806.05954717645,-174632.3952868043,-75826.33573962784,309.03573338240386
128,w99758770,mfh,67803.20632134694,84754.00790168367,123602.56527583835,137336.18363982037,r2,r2,-204013.14213248855,-388898.6627512962,-184885.52061880764,601.7205038767308
129,w99758771,mfh,93790.2658837786,117237.83235472324,175271.79498964516,194746.4388773835,r2,r2,-289296.1771726979,-479117.87157726113,-189821.69440456323,976.6668764967471
130,w99758774,ab,21548.287941595398,26935.359926994246,62183.884482976144,69093.20498108461,r1,r2,-102638.07741420371,-185744.64190276506,-83106.56448856134,197.5460334163159
131,w99758775,sfh,27414.764697100116,34268.45587137514,41468.16576899654,46075.73974332949,r1,r1,-74355.03154403793,-210633.82374434994,-136278.79220031202,265.071225726977
132,w99758777,ab,38785.81336494016,48482.26670617519,105954.58460251115,117727.31622501239,r1,r2,-174884.13512989104,-290585.81648676173,-115701.68135687069,337.6781565959565
133,w99758783,th,46165.858494498185,57707.32311812273,46165.858494498185,51295.3983272202,r2,r1,-82778.2903091995,-91602.88084493282,-8824.590535733325,333.3155570875853
134,w99758786,mfh,24975.758120688377,31219.69765086047,58859.38042021428,65399.31157801586,r1,r2,-97150.79227280986,-146641.79804852264,-49491.00577571278,182.17889552428386
135,w99758788,other,29695.324703960447,37119.15587995056,107247.06333366054,119163.40370406726,nr1,nr2,-165429.01700147404,-258830.74598822717,-93401.72898675312,349.08404515869915
136,w99758792,sfh,7098.129910688255,8872.662388360319,22560.840147597835,25067.600163997595,r1,r1,-40453.00653468541,-85198.07182159448,-44745.06528690907,60.93018751584459
137,w99758793,ab,14533.912444621437,18167.390555776794,45544.688375520156,50605.2093061335,r1,r1,-81664.49318472295,-124206.62405056813,-42542.13086584519,126.39461716674268
138,w99758796,ab,92578.39928517047,115722.99910646307,179322.33204421046,199247.03560467827,r2,r2,-295981.8215198178,-438106.91152424243,-142125.09000442462,906.0679207786917
139,w99758800,ab,43617.35169245246,54521.68961556557,99487.39834212833,110541.55371347592,r1,r2,-164209.6722917426,-266635.79696175206,-102426.12467000945,420.9761067721993
140,w99758801,mfh,30453.792851169546,38067.241063961934,71440.53956745433,79378.37729717146,r1,r2,-117916.71896348412,-188113.6112355155,-70196.89227203139,293.7319820257835
141,w99758803,mfh,56071.10035591353,70088.8754448919,131384.60978199245,145982.8997577694,r2,r2,-216857.85412023985,-303054.33554105484,-86196.48142081499,512.6721141899004
142,w99758805,sfh,21149.48042883679,26436.850536045986,58159.717102174254,64621.90789130473,r1,r2,-95995.95773009918,-184658.7852408491,-88662.82751074992,165.76912949401884
143,w99758807,other,10633.353902934445,13291.692378668055,42605.10553834061,47339.006153711794,nr1,nr1,-71389.686154001,-113611.0112940923,-42221.3251400913,110.8734177275095
144,w99758813,other,4335.785169212401,5419.731461515501,17306.7893226752,19229.765914083553,nr0,nr1,-28999.48826478882,-53117.1262389688,-24117.63797417998,43.0509613757953
145,w99758814,th,9884.973779293656,12356.217224117068,18715.5754116606,20795.083790734,r1,r1,-33558.20481308256,-76207.59925326714,-42649.39444018458,84.92593946289271
146,w99758818,mfh,42981.25264898336,53726.5658112292,91711.52463429667,101901.69403810741,r1,r2,-151375.14556149318,-267012.61266630254,-115637.46710480936,424.19755738042295
147,w99758821,sfh,4362.174934958981,5452.718668698726,16591.68554566197,18435.206161846632,r0,r1,-29749.93658964306,-71808.5955828064,-42058.65899316334,35.03456762442365
148,w99758824,ab,54415.092655594315,68018.86581949289,169348.0416963535,188164.4907737261,r2,r2,-279518.68169851333,-433151.4121158751,-153632.73041736177,478.7830200769007
149,w99758826,ab,50422.93344994148,63028.666812426854,106368.10829847213,118186.78699830236,r2,r2,-175566.67977102342,-315819.5556137119,-140252.87584268846,392.0728006519377
150,w99758837,mfh,27818.768765056746,34773.46095632093,81068.34105236304,90075.9345026256,r1,r2,-133807.95899058756,-190265.3286370021,-56457.36964641453,194.723237061128
151,w99758838,ab,49879.55482966044,62349.443537075545,109862.70524728548,122069.67249698387,r2,r2,-181334.7130025585,-314733.4330197927,-133398.7200172342,478.1149431033991
152,w99758842,sfh,9098.77198804681,11373.464985058512,28836.13150330949,32040.146114788324,r1,r1,-51704.99894981219,-74444.70253437088,-22739.703584558694,66.20839738831855
153,w99758845,th,20597.68337727332,25747.104221591646,68631.03812160477,76256.7090240053,r1,r2,-113279.47525810951,-196908.46047498268,-83628.98521687317,141.8255072105676
154,w99758846,other,39110.73926488373,48888.424081104655,132388.56970357036,147098.41078174484,nr1,nr2,-204209.88946015234,-341186.14218571427,-136976.25272556194,563.5821329504251
155,w99758847,sfh,48245.97195129891,60307.46493912364,141765.98617754248,157517.76241949163,r2,r2,-233992.9128739939,-342959.6615524603,-108966.74867846639,385.25146163031457
156,w99758850,ab,22322.486341848085,27903.107927310106,51542.08490718524,57268.98323020582,r1,r2,-85073.17522502817,-158367.6959297415,-73294.52070471332,177.17881421931088
157,w99758852,other,27630.39919965029,34537.99899956286,94738.4325839545,105264.92509328279,nr1,nr2,-146134.40487283768,-259513.8139080752,-113379.4090352375,422.9061155930161
158,w99758858,sfh,6590.511049374096,8238.13881171762,9200.09663478349,10222.329594203877,r1,r1,-16496.352389884763,-78153.08849628949,-61656.73610640473,57.38898355839774
159,w99758862,sfh,47385.93913186298,59232.42391482872,153965.21116104606,171072.45684560674,r2,r2,-254128.4352631253,-408559.7693169237,-154431.33405379837,402.33381934519855
160,w99758864,other,10686.907379847416,13358.63422480927,39005.52169932354,43339.46855480393,nr1,nr1,-65358.17520465733,-113574.17826701947,-48216.003062362135,101.365438436158
161,w99758865,other,4034.3888558582253,5042.986069822781,19191.6289905496,21324.03221172178,nr0,nr1,-32157.75088707185,-59038.1205091593,-26880.36962208745,63.831228005420414
